text,translation,target
"Im in da library, noelle and Kayla and connie just left. should i? maybe cuz im really bored. noone 2 chat and laugh with. ","Sunt în bibliotecă, Noelle și Kayla și Connie tocmai au plecat. Ar trebui să plec și eu? Poate că da, pentru că mă plictisesc foarte tare. Nu am pe cine să vorbesc și să râd.",0
@thedistraction im seeing mewithoutyou that night in NYC otherwise i would go ,"@thedistraction îi voi vedea pe mewithoutyou în acea seară în NYC, altfel aș merge.",0
@Jayme1988 ah bless craig... I seen some the other night on E4 bb docu... i felt really bad for him... ,"@Jayme1988 ah, săracul Craig... Am văzut câteva lucruri într-o seară pe E4, documentarul Big Brother... mi-a părut foarte rău pentru el...",0
I already miss my bear. ,Îmi este deja dor de ursul meu.,0
@brittanytran Magic is on Aug 31st - Sept 2nd.  Are you going? ,@brittanytran Magic este pe 31 august - 2 septembrie. Vei merge?,4
"@hannahnicklin Aw, sorry to hear that  And it seemed so full of life yesterday! Tbh the USB went on a friends WinMob phone. Hmmm :-\","@hannahnicklin Ah, îmi pare rău să aud asta. Și părea atât de plin de viață ieri! Sincer, USB-ul a mers pe telefonul WinMob al unui prieten. Hmm :-\",0
"@alisonrothwell Hi Ali, I can only DM you if you follow me  sucks huh? PM me through EKM if you like. Gaz","@alisonrothwell Salut Ali, pot să-ți trimit mesaj direct doar dacă mă urmărești, nasol, nu? Trimite-mi un mesaj privat prin EKM dacă vrei. Gaz",0
omfg why am I working right now? ,"Doamne, de ce lucrez acum?",0
@anrserge Cavs are making me sick Serge  if they dont win umma kick Bron where it hurts!,"@anrserge Cavs mă fac să mă simt rău, Serge, dacă nu câștigă, o să-l lovesc pe Bron unde-l doare!",0
@sreejith At least you got @karteekj create his account ,@sreejith Cel puțin ai reușit să-l convingi pe @karteekj să-și creeze contul,4
wow i just watched the MTV movie awards on there website. poor Rob during the kiss i hope that was all intentional   ,"Wow, tocmai am urmărit premiile MTV Movie pe site-ul lor. Săracul Rob în timpul sărutului, sper că totul a fost intenționat",0
@cazob then jb wiill sweep you up and take you with them ,@cazob atunci JB te va lua și te va duce cu ei,4
dont like it when the tour ends. ,Nu-mi place când se termină turneul.,0
@crystalsinger I hope so too. French Prime Minister said we must prepare for the worst though and I fear he's right ,"@crystalsinger Sper și eu. Prim-ministrul francez a spus că trebuie să ne pregătim pentru ce e mai rău, dar mă tem că are dreptate",0
"Sunday night, getting ready for bed and a full week at work ","Duminică seara, mă pregătesc de culcare și de o săptămână plină la serviciu",0
We're getting violent.  Program randomly decided to hate us when we took a break to get food ,Ne enervăm. Programul a decis brusc să ne urască când am luat o pauză să luăm ceva de mâncare,0
"@svennemans Amen !! And let's not forget, the 14e GS title, which puts him right next to Sampras... No pressure, Roger, noooo pressure ","@svennemans Amin!! Și să nu uităm, al 14-lea titlu de Grand Slam, care îl plasează chiar lângă Sampras... Fără presiune, Roger, nicio presiune",4
my mom was just asking if i could work w/her on fri....so now i'm not sure....... ,Mama tocmai mă întreba dacă pot lucra cu ea vineri... așa că acum nu sunt sigură...,0
is getting her hair dieddddddd. i miss my baby ,îmi vopsesc părul. Îmi este dor de bebelușul meu,0
I can sleep in more... Yay ,Pot să dorm mai mult... Yay,4
@Trucco905 yeah i have these extra strength things my mum takes for her leg! and no chemist will be open when i go... god! ,"Da, am acele lucruri cu putere suplimentară pe care le ia mama mea pentru piciorul ei! și niciun farmacist nu va fi deschis când merg... Doamne!",0
My dog is definitely cuter than yours. ,Câinele meu este cu siguranță mai drăguț decât al tău.,4
@aldriniscool Awesome. I have the camera they modeled this after!! It's the one in our living room... along with everything else. ,@aldriniscool Grozav. Am aparatul foto după care au modelat asta!! Este cel din sufrageria noastră... împreună cu tot restul.,4
Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!,Acasă de la muncă... Îmi lipsea micuța mea Maddie Acum să pun hainele la loc și să facem patul!!! Poate dormim în el în seara asta!!!,0
fine...there are so many movies 2 anticipate...especially &quot;harry potter 6&quot;...cause that's shown on my birthmonth...wooot!!! ,"bine... sunt atât de multe filme de așteptat... în special ""Harry Potter 6""... pentru că asta e difuzat în luna mea de naștere... yuhuu!!!",4
I love the theme song. &quot;It all started with the big bang BANG!!!&quot; ,"Iubesc melodia de început. ""Totul a început cu un mare bang BANG!!!""",4
is off to the gym... to do some hectic cardio training ,plec la sală... să fac un antrenament cardio intens,4
I can't stand to watch this ,Nu suport să mă uit la asta,0
Only problem is that TIFF files can't be larger than 4GB ,Singura problemă este că fișierele TIFF nu pot fi mai mari de 4GB,0
@erockett89 i wish i was home in bed naked ,"@erockett89 aș vrea să fiu acasă în pat, dezbrăcat",0
"My day so far, laundry, trip into town, back home.  Now am going to have a well deserved break before lunch then a visit to the library ","Ziua mea până acum, spălat rufe, călătorie în oraș, înapoi acasă. Acum o să iau o pauză binemeritată înainte de prânz și apoi o vizită la bibliotecă",4
"@hellonhairylegs Trueblood and Dexter should be back within weeks! Best. Shows. Ok, maybe not Ever but Currently at any rate. ","@hellonhairylegs Trueblood și Dexter ar trebui să se întoarcă în câteva săptămâni! Cele. Mai. Bune. Seriale. Ok, poate nu din toate timpurile dar în prezent cu siguranță.",4
@savvygrl Eww.. That looks gross... I am guilty of still eating fish... ,@savvygrl Uhh.. Arată dezgustător... Sunt vinovat că încă mănânc pește...,0
"Let me rephrase the last 3 jokes from dane were funny, in nfl blitz if you do somethin bad ass 3 times in a row you are on fire ","Să reformulez ultimele 3 glume de la Dane au fost amuzante, în NFL Blitz dacă faci ceva tare de trei ori la rând ești în flăcări",4
"So according to Mr. Tagg, if I do this Peer Tutoring, he'll let me be an Environment Prefect next year. Yay for extra cred ","Deci, conform domnului Tagg, dacă fac acest Tutoriat de colegi, el mă va lăsa să fiu Prefect de Mediu anul viitor. Yuhuu pentru puncte bonus",4
Lakers lead by six in overtime yay! ,Lakers conduc cu șase puncte în prelungiri yuhuu!,4
@JefferyPatch LOL definantly not hot haha. And I would for sure cry if u kicked my unhealed boobs ,@JefferyPatch LOL cu siguranță nu ești sexy haha. Și cu siguranță aș plânge dacă mi-ai lovi sânii nevindecați,0
@lindseliz tweet tweet! why can't i write on your wall? ,@lindseliz tweet tweet! de ce nu pot scrie pe peretele tău?,0
@Liinduhhh are you serious biff ? ,"@Liinduhhh ești serios, biff?",0
@NuGoth lol So am I - kinda  What is it you do actually?,@NuGoth lol și eu - cam așa Ce faci de fapt?,4
@YourMyTwilight have fun! ,@YourMyTwilight să te distrezi!,4
@ElizaPatricia The glasses make you look coquettish. ,@ElizaPatricia Ochelarii te fac să pari cochetă.,4
"@qclindalou Haha, that only helps if anything.  Thanks.","@qclindalou Haha, asta ajută doar dacă e ceva. Mulțumesc.",4
Went to a bbq at Janet's.   Out of the nuggets loop but think they lost due to facebook comments. ,"Am fost la un grătar la Janet. Nu mai sunt la curent cu noutățile, dar cred că au pierdut din cauza comentariilor de pe Facebook.",0
What's your fav milkshake place in #flagstaff ? #flg needing a creamy delightful pick me up ,Care este locul tău preferat de milkshake în #flagstaff? #flg am nevoie de o încântare cremoasă și delicioasă,4
"Watched the New Moon trailer just then, now just have to wait for the next one ","Am văzut trailerul pentru New Moon acum, acum trebuie doar să aștept următorul",4
wants to go to Disneyland! ,vreau să merg la Disneyland!,0
@KatyLinda oh no  i thought both would be cool - guess i'm not cool w/ the 4yr olds lol,"@KatyLinda oh nu, credeam că ambele ar fi fost tari - cred că nu sunt cool cu copiii de 4 ani lol",0
@trvsbrkr http://twitpic.com/4hvhs - She's cute ,@trvsbrkr http://twitpic.com/4hvhs - Ea este drăguță,4
@Tharomas 24 ,@Tharomas 24,0
@GirlswithGoals I'm sorry to hear about the death of your beloved canine ,@GirlswithGoals Îmi pare rău să aud despre moartea câinelui tău iubit,0
